Robert B³a¿ej;Kowalczyk-Wilczyñski;+00068198879;priorytet
Szymon;Sowa;387490314;priorytet
Bartosz;Ardanowski-Sosnowski;624 716 185;znajomi
Aleksander Tomasz;Szopa;109705276;studia
Urszula;Kulesza;932682907;praca
Paulina;Szyd³o-Borys;+94 78 713 25 22;znajomi
Killion Jaros³aw;Karpiñski;55-068-69-52;spam
Dorota;M³yñczak-Gonciarz;906242346;dostawcy
Borys Piotr;Hibner-Czernow;99 922 85 82;dostawcy
Cezary;Bejda-Hok;337-531-051;dostawcy
Dorota;Korol;263 916 550;studia
Mieczys³aw;Furgo-Galemba;+58-41-624-10-63;rodzina
And¿elika;Szyszko;47-803-14-35;praca
Waldemar;Osuch;960-491-540;studia
Dominik;Winnicki;092037258;spam
Anna Urszula;Plocke;014 067 548;dostawcy
Miros³aw Jan;Lorek;152 278 054;rodzina
Beata Iwona;Bubula;40 960 40 29;dostawcy
Izabela Halina;Lieder;288-47-84;znajomi
Tomasz Andrzej;Krawczyk-Gosiewski;144179825;priorytet
Izabela Bo¿ena;Furgo-Warzecha;801-07-19;znajomi
Tomasz Borys;Witek;614 769 739;praca
Iwona Zofia;Lorek;3360473;znajomi
Leszek;Bañkowski;+5-75-064-12-91;zablokowani
Jaros³aw;Uœciñski;480 786 591;priorytet
Iwona Ma³gorzata;Rostkowska;966313976;studia
Urszula Ma³gorzata;Szewczak;+3 08 473 05 26;priorytet
Leszek Szymon;Micha³kiewicz-Rozpondek;971-196-321;rodzina
Agata;Gapiñska-Ok³a;575-412-813;praca
Wojciech Mariusz;Rosa-Mucha;658 614 803;rodzina
Dominik;Rzoñca;98-442-01-42;praca
Anna;Mazurek;+63457321016;studia
Jolanta;Brynkus;834 37 31;znajomi
Dominik Adam;£awniczak;053 065 014;dostawcy
Halina;Lorek;857243212;dostawcy
Halina Monika;Strycharska;171-239-714;znajomi
Artur Kamil;Kloc;+29-65-625-64-12;priorytet
Rajmund Tadeusz;Morawiecki;486-31-18;dostawcy
Marzena Bo¿ena;Witczak;559-35-59;rodzina
W³odzimierz Krzysztof;Œcigaj-Krzywonos;48-657-31-72;priorytet
Dariusz;Biernacki;098 090 946;praca
Kazimierz Zdzis³aw;Schreiber;473434630;studia
El¿bieta;Borowczak;+51590555532;priorytet
£ukasz;Drewnowicz-Cyrañski;967 937 950;rodzina
Aleksander B³a¿ej;Leœniak;452904376;praca
Agata Miros³awa;Kloska;707 978 174;spam
Józefa;Miller;209385399;rodzina
Cezary Stefan;Cyrañski;969-134-728;praca
Jerzy;Sprawka-Kurzêpa;646 558 757;dostawcy
Danuta;Witek;949-83-60;rodzina
Zdzis³aw;Rutnicki-W¹sik;447 302 306;rodzina
Krzysztof Mieczys³aw;Borys;845 775 347;znajomi
Paulina Zofia;Ast;676574256;rodzina
Bo¿ena;Libera;700 917 868;dostawcy
Marzena Bo¿enna;Pihowicz;+94 075 598 330;rodzina
Ireneusz Dariusz;Kobyliñski-Gadowski;962928465;dostawcy
Zbigniew;Kosiniak-Œwiêcicki;650-053-714;rodzina
Grzegorz Janusz;Œcigaj;697-41-65;spam
Barbara;Go³ojuch;493 145 501;znajomi
Kornelia Agata;Ha³as;+71 966 549 392;praca
Jakub;Malik;973171128;znajomi
Szymon;Kryj;503-61-56;praca
Józefa;Drewnowicz;176-493-778;studia
Alicja Bo¿ena;Siarka;504-190-613;studia
Zbigniew Waldemar;Mê¿yd³o;311326967;znajomi
Cezary Kornel;Kidawa-Kaleta;885-987-078;znajomi
Mariusz;Szopa-Telus;203-339-128;rodzina
Daniel;Osuch-Koz³owski;+78 23 885 89 50;studia
Krystyna;Rozpondek-Gryglas;54-562-64-03;praca
Miros³aw;Gawron;075967522;praca
Dorota;Szczerba-Zembala;+70419948768;studia
Jakub;Mieszkowski;469873831;praca
Lech Kornel;Krz¹ka³a-Urbaniak;12-329-40-05;dostawcy
Anita;Witczak;+5-44-404-52-54;dostawcy
Antoni Lech;Bukiewicz-Wilczyñski;+14-160-902-902;spam
Jerzy Andrzej;Drewnowicz;407-825-613;praca
Waldemar;Kilian;+3-02-590-48-39;dostawcy
Ma³gorzata Kinga;Augustynowska-Czech;196 229 855;znajomi
Adam;Pampuch;491893727;dostawcy
Katarzyna Bo¿ena;Dolniak;78-388-61-11;znajomi
Teresa;Dworczyk;975 245 527;rodzina
Paulina;Kubów;131-020-354;rodzina
Henryka And¿elika;Marchewka-Protasiewicz;5525140;znajomi
Paulina Gabriela;Hajos;41-081-48-51;studia
Tadeusz Leszek;Zwiercan;27-450-01-88;rodzina
Wojciech S³awomir;Zwiercan-Golbik;830982403;studia
Miros³aw Dominik;Skutecki-Osos;+4571417678;praca
Marzena;Glenc;550-074-450;studia
Izabela;Raniewicz;653 856 998;rodzina
Mieczys³aw Krystian;Lieder;06-606-00-30;znajomi
Tomasz Rajmund;Materna;1005124;spam
Anna;Ar³ukowicz;2389823;priorytet
Halina Katarzyna;Jarubas-Œcigaj;+74 99 991 00 08;rodzina
Alicja Paulina;Lenz;328-744-969;dostawcy
Dorota Paulina;Filipiak-D³ugi;463 212 483;dostawcy
Bernadeta Anna;Dziuk-Borys;21 068 81 47;rodzina
Jerzy;Hora³a-Ok³a;311253885;studia
Katarzyna;Go³ojuch;743 846 486;zablokowani
Maria;Mê¿yd³o-Œniadek;730 728 017;zablokowani
Józef;Majka-Gelert;303969585;znajomi
Zofia Józefa;Krynicka-Bejda;225545298;dostawcy
Lidia;Sowa;102-682-935;dostawcy
W³odzimierz;Kilian-Tyszkiewicz;+01428779369;studia
B³a¿ej Witold;Gowin;78 464 05 07;rodzina
Krzysztof W³adys³aw;Suchoñ;52 496 43 76;priorytet
Agnieszka Bo¿ena;Augustynowska;+77-65-727-55-16;dostawcy
Ryszard Patryk;Osos;+14134956447;rodzina
Anna;Hok-Szyde³ko;517984291;dostawcy
And¿elika;Urbaniak;+45-432-207-272;priorytet
£ukasz;Aziewicz-Furgo;667646640;znajomi
Szymon;Filipiak-Kaleta;81-188-27-06;spam
Zbigniew Aleksander;Hibner-Suski;395-149-568;dostawcy
Pawe³ Stefan;Stachowiak;503858794;znajomi
Agata Izabela;Jaskó³a;242934536;rodzina
Czes³aw Rajmund;Œwiêcicki-Bañkowski;813873118;dostawcy
Stefan;Andruszkiewicz-Scheuring;960755739;znajomi
Henryka;Nemœ-Paw³owicz;429303424;rodzina
Aleksander Henryk;Kosiniak;+5149857103;zablokowani
Agnieszka;Jarubas;325 32 72;znajomi
£ukasz;Stachowiak;+4 59 784 99 84;rodzina
Krystyna Ewa;Nemœ;20-977-87-82;studia
Halina Miros³awa;Andruszkiewicz;+55295183731;rodzina
Marzena Dorota;Matusiewicz-Radziszewska;650442182;dostawcy
Kinga Krystyna;Mazurek-Paluch;132-856-585;praca
Henryka Bo¿enna;Piêta-Ró¿ecka;944001449;rodzina
Waldemar;Jêdrysek;+0-00-499-44-20;rodzina
Mieczys³aw;Matuszny-Krawczyk;+6-78-396-10-92;znajomi
Henryk;Szumilas;041-289-599;rodzina
Leszek Mariusz;G³ogowski-Kostuœ;927-975-287;priorytet
Marta;Ar³ukowicz;+2 403 838 886;spam
Agata Kornelia;Nowicka-Leszczyna;116893888;znajomi
B³a¿ej Maciej;Gliñski-Kuchciñski;654875240;rodzina
Aldona;Janyska;+3076044298;praca
Aleksander;Galemba;78-182-73-58;studia
Magdalena;Ar³ukowicz;074-15-25;spam
Marek;Skutecki;985187421;rodzina
Anna;Jakubiak-Kopciñska;721 454 175;rodzina
Henryka Iwona;Zembala-Paul;61 178 23 52;studia
Stanis³aw Przemys³aw;Milewski;+2-940-874-006;dostawcy
Henryka Lidia;Micha³kiewicz;7835027;studia
Bo¿ena Krystyna;WoŸniak-Skowroñska;925-208-169;zablokowani
Tomasz;Sanocki;09-230-93-55;znajomi
And¿elika;G¹dek;9521418;praca
Józefa Teresa;Skwarek;6424893;praca
Józefa;Szewczak;303996157;studia
Jolanta;Budka;465258778;rodzina
Bo¿enna Kornelia;Wróblewska;365128768;studia
Miros³awa;Dziuba;+5 170 301 071;studia
Jagna Bo¿enna;Szyd³o;7382857;studia
Teresa;Szczurek-Hajos;45 996 18 31;praca
Halina Gabriela;Sellin;730-613-216;dostawcy
Cezary Daniel;Jakubiak-Koz³owski;557-749-716;zablokowani
Lech Killion;Lorek;153 63 11;studia
Sylwester;Mieszkowski;292-055-590;znajomi
Aldona And¿elika;W¹sik;670179959;studia
Jagna Zofia;Olejniczak;636-573-037;dostawcy
Jakub;Pampuch;302-51-92;studia
Piotr Miros³aw;Pampuch;291-20-75;rodzina
Magdalena;Porwich-Neumann;+4 089 640 100;praca
Robert Zbigniew;Kownacki-Truskolaski;+57907088960;znajomi
Zofia Alicja;Porwich-Sowa;3508849;znajomi
Monika;Puda-Szumilas;248 28 55;rodzina
Iwona Halina;Dolniak;+0 595 712 350;rodzina
Szymon Jan;Jach-Rz¹sa;110 326 441;praca
Kornel;Truskolaski;331524499;rodzina
Jagna Halina;Chrobak;+2 71 173 58 09;priorytet
Waldemar;Skutecki;508-93-48;rodzina
